"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"HLX","Helix Energy So...","1,099","--","-0.01","--","100.00%","--",""
"CYH","Community Healt...","624","--","-0.36","--","6.46%","--",""
"MOS","Mosaic Company...","9,141","amc","0.27","--","4.72%","--",""
"PSB","Ps Business Par...","3,255","amc","1.54","--","-0.21%","--",""
"CRMT","America's Car-m...","318","amc","0.54","--","-0.93%","--",""
"HCLP","Hi-crush Partne...","1,133","amc","0.51","--","-2.29%","--",""
"BRQS","Borqs Technolog...","219","--","-0.07","--","NA","--",""
"NBLX","Noble Midstream...","1,312","amc","1.17","--","NA","--",""
"ROG","Rogers Corporat...","2,945","--","1.42","--","NA","--",""
"SUPV","Grupo Superviel...","2,211","amc","0.51","--","NA","--",""
"UIHC","United Insuranc...","814","--","0.57","--","NA","--",""
"VIPS","Vipshop Holding...","9,285","--","0.21","--","NA","--",""
