"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"PPL","Ppl Corporation...","21,473","bmo","0.48","--","-0.69%","--",""
"EIX","Edison Internat...","20,070","amc","0.93","--","-0.72%","--",""
"APA","Apache Corporat...","16,312","bmo","0.20","--","-0.75%","--",""
"SLRC","Solar Capital L...","872","amc","0.42","--","-0.79%","--",""
"ADC","Agree Realty Co...","1,386","amc","0.69","--","-0.90%","--",""
"LDOS","Leidos Holdings...","10,019","bmo","0.83","--","-0.97%","--",""
"VC","Visteon Corpora...","3,854","--","1.73","--","-1.01%","--",""
"ACHC","Acadia Healthca...","3,041","--","0.55","--","-1.02%","--",""
"CNK","Cinemark Holdin...","4,336","--","0.47","--","-1.28%","--",""
"HCN","Welltower Inc.","21,647","bmo","1.05","--","-1.35%","--",""
"GSBD","Goldman Sachs B...","864","amc","0.47","--","-1.60%","--",""
"BRC","Brady Corporati...","1,926","bmo","0.44","--","-1.71%","--",""
"GOGO","Gogo Inc.","798","bmo","-0.48","--","-1.75%","--",""
"WAGE","Wageworks, Inc....","2,416","--","0.42","--","-1.80%","--",""
"IDA","Idacorp, Inc.","4,202","bmo","0.66","--","-2.01%","--",""
"GIL","Gildan Activewe...","7,151","bmo","0.31","--","-2.17%","--",""
"HEES","H&e Equipment S...","1,329","--","0.42","--","-2.38%","--",""
"APPN","Appian Corporat...","1,725","amc","-0.16","--","-2.56%","--",""
"TVTY","Healthways, Inc...","1,503","amc","0.32","--","-2.58%","--",""
"FNGN","Financial Engin...","1,786","--","0.37","--","-2.70%","--",""
"INTU","Intuit Inc.","41,778","amc","0.33","--","-2.85%","--",""
"PEGA","Pegasystems Inc...","3,924","--","0.15","--","-3.45%","--",""
"FI","Frank's Interna...","1,479","--","-0.11","--","-3.77%","--",""
"SAGE","Sage Therapeuti...","7,668","--","-2.04","--","-3.83%","--",""
"SPLK","Splunk Inc.","12,905","--","0.34","--","-4.48%","--",""
"BJRI","Bj's Restaurant...","783","--","0.33","--","-4.78%","--",""
"HRL","Hormel Foods Co...","17,821","bmo","0.43","--","-5.02%","--",""
"NVRO","Nevro Corp.","2,356","--","-0.14","--","-5.85%","--",""
"BIO","Bio-rad Laborat...","7,570","--","1.28","--","-6.79%","--",""
"CENX","Century Aluminu...","1,836","--","0.23","--","-7.35%","--",""
"GTLS","Chart Industrie...","1,496","bmo","0.32","--","-7.41%","--",""
"ICPT","Intercept Pharm...","1,578","--","-3.43","--","-7.56%","--",""
"LJPC","La Jolla Pharma...","855","--","-1.25","--","-7.66%","--",""
"HASI","Hannon Armstron...","1,112","--","0.32","--","-7.94%","--",""
"PBA","Pembina Pipelin...","16,508","amc","0.42","--","-11.20%","--",""
"VER","Vereit Inc.","6,907","bmo","0.17","--","-13.04%","--",""
"OII","Oceaneering Int...","2,006","amc","-0.10","--","-13.33%","--",""
"ACIA","Acacia Communic...","1,506","--","0.25","--","-15.58%","--",""
"JAKK","Jakks Pacific,...","69","bmo","-0.23","--","-20.00%","--",""
"GDDY","Godaddy Inc.","9,194","amc","0.08","--","-22.77%","--",""
"TXMD","Therapeuticsmd,...","1,192","--","-0.09","--","-29.41%","--",""
"TAHO","Tahoe Resources...","1,317","amc","-0.01","--","-33.33%","--",""
"EGO","Eldorado Gold C...","969","--","0.01","--","-37.50%","--",""
"SB","Safe Bulkers, I...","322","--","0.00","--","-150.00%","--",""
"AAON","Aaon, Inc.","1,868","--","0.24","--","NA","--",""
"ABLYF","Ablynx Nv","4,084","--","-0.21","--","NA","--",""
"ACHN","Achillion Pharm...","369","--","-0.15","--","NA","--",""
"ACU","Acme United Cor...","80","--","0.23","--","NA","--",""
"AGI","Alamos Gold Inc...","2,202","bmo","0.05","--","NA","--",""
"AINC","Ashford Inc.","189","--","1.64","--","NA","--",""
"AMSWA","American Softwa...","373","--","0.05","--","NA","--",""
"ARD","Ardagh Group S....","370","bmo","0.22","--","NA","--",""
"ASPN","Aspen Aerogels,...","113","amc","-0.13","--","NA","--",""
"AVHI","A V Homes, Inc....","373","--","0.41","--","NA","--",""
"AWR","American States...","2,040","--","0.35","--","NA","--",""
"BCOV","Brightcove Inc....","234","amc","-0.03","--","NA","--",""
"BCS","Barclays Plc","46,744","--","0.13","--","NA","--",""
"BGS","B&g Foods, Inc....","2,118","--","0.59","--","NA","--",""
"BRFS","Brf S.a.","8,637","amc","0.06","--","NA","--",""
"BSFT","Broadsoft, Inc....","1,745","--","1.41","--","NA","--",""
"BTI","British America...","141,988","--","2.00","--","NA","--",""
"CBPO","China Biologic...","2,664","--","1.11","--","NA","--",""
"CCOI","Cogent Communic...","2,001","bmo","0.12","--","NA","--",""
"CECO","Career Educatio...","850","--","0.05","--","NA","--",""
"CHCT","Community Healt...","472","amc","0.36","--","NA","--",""
"CRI","Carter's, Inc.","5,693","--","2.20","--","NA","--",""
"CVA","Covanta Holding...","2,090","amc","0.20","--","NA","--",""
"CWT","California Wate...","1,995","--","0.24","--","NA","--",""
"DLGNF","Dialog Semicon","2,421","--","1.16","--","NA","--",""
"ECPG","Encore Capital...","1,056","--","0.93","--","NA","--",""
"EFOI","Energy Focus, I...","32","--","-0.15","--","NA","--",""
"EME","Emcor Group, In...","4,690","bmo","0.86","--","NA","--",""
"ERIE","Erie Indemnity...","5,396","--","0.76","--","NA","--",""
"ESCA","Escalade, Incor...","183","--","0.28","--","NA","--",""
"EVA","Enviva Partners...","406","bmo","0.35","--","NA","--",""
"EYEG","Eyegate Pharmac...","18","--","-0.25","--","NA","--",""
"FIX","Comfort Systems...","1,582","--","0.51","--","NA","--",""
"FPRX","Five Prime Ther...","648","--","-1.29","--","NA","--",""
"FTAI","Fortress Transp...","1,449","--","0.14","--","NA","--",""
"GASS","Stealthgas, Inc...","175","--","0.05","--","NA","--",""
"HF","Hff, Inc.","1,839","--","0.82","--","NA","--",""
"HLF","Herbalife Ltd.","7,138","amc","0.96","--","NA","--",""
"HPE","Hewlett Packard...","26,538","--","0.23","--","NA","--",""
"HSC","Harsco Corporat...","1,432","bmo","0.15","--","NA","--",""
"IDCC","Interdigital, I...","2,697","bmo","2.42","--","NA","--",""
"IMMR","Immersion Corpo...","294","amc","-0.18","--","NA","--",""
"INSM","Insmed, Inc.","2,037","--","-0.67","--","NA","--",""
"ITGR","Integer Holding...","1,587","amc","0.77","--","NA","--",""
"JRVR","James River Gro...","1,120","amc","0.75","--","NA","--",""
"KAI","Kadant Inc","1,111","--","1.08","--","NA","--",""
"KOP","Koppers Holding...","894","--","0.46","--","NA","--",""
"KW","Kennedy-wilson...","2,658","amc","0.28","--","NA","--",""
"LFGR","Leaf Group Ltd....","189","--","-0.27","--","NA","--",""
"LGND","Ligand Pharmace...","3,315","--","1.06","--","NA","--",""
"LKSD","Lsc Communicati...","447","bmo","0.66","--","NA","--",""
"LYV","Live Nation Ent...","9,250","--","-1.05","--","NA","--",""
"MCS","Marcus Corporat...","717","bmo","0.39","--","NA","--",""
"MDXG","Mimedx Group, I...","1,791","--","0.10","--","NA","--",""
"MITL","Mitel Networks...","1,063","bmo","0.29","--","NA","--",""
"MSA","Msa Safety Inco...","3,000","--","0.96","--","NA","--",""
"NCMI","National Cineme...","541","--","0.20","--","NA","--",""
"OGE","Oge Energy Corp...","6,261","bmo","0.28","--","NA","--",""
"RDHL","Redhill Biophar...","124","--","-0.65","--","NA","--",""
"RGEN","Repligen Corpor...","1,473","bmo","0.12","--","NA","--",""
"RMAX","Re/max Holdings...","863","--","0.46","--","NA","--",""
"RTIX","Rti Surgical, I...","268","--","0.04","--","NA","--",""
"RWT","Redwood Trust,...","1,144","--","0.34","--","NA","--",""
"SCL","Stepan Company","1,690","bmo","0.70","--","NA","--",""
"SENS","Senseonics Hold...","358","--","-0.14","--","NA","--",""
"SGC","Superior Unifor...","349","--","0.29","--","NA","--",""
"SGY","Stone Energy Co...","693","--","0.22","--","NA","--",""
"SHLX","Shell Midstream...","4,918","--","0.34","--","NA","--",""
"SJI","South Jersey In...","2,285","--","0.41","--","NA","--",""
"SRCI","Synergy Resourc...","2,242","--","0.25","--","NA","--",""
"SSRM","Silver Standard...","1,004","amc","0.13","--","NA","--",""
"STMP","Stamps.com Inc....","3,620","--","2.75","--","NA","--",""
"STN","Stantec Inc.","3,230","bmo","0.36","--","NA","--",""
"SUNS","Solar Senior Ca...","271","amc","0.35","--","NA","--",""
"TK","Teekay Corporat...","730","--","0.15","--","NA","--",""
"TNC","Tennant Company...","1,183","--","0.35","--","NA","--",""
"TOO","Teekay Offshore...","976","--","0.10","--","NA","--",""
"TPC","Tutor Perini Co...","1,192","--","0.50","--","NA","--",""
"TPRE","Third Point Rei...","1,536","--","0.45","--","NA","--",""
"TPX","Tempur Sealy In...","3,090","bmo","0.84","--","NA","--",""
"TSEM","Tower Semicondu...","3,172","bmo","0.57","--","NA","--",""
"VAC","Marriot Vacatio...","3,858","--","1.16","--","NA","--",""
"VLRS","Controladora Vu...","733","bmo","0.22","--","NA","--",""
"WK","Workiva Inc.","935","amc","-0.22","--","NA","--",""
"WPC","W.p. Carey Inc....","6,743","--","1.13","--","NA","--",""
"ZIXI","Zix Corporation...","226","amc","0.08","--","NA","--",""
