"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"CNSL","Consolidated Co...","839","--","0.00","--","1,000.09%","--",""
"AROC","Archrock, Inc.","738","bmo","-0.03","--","100.00%","--",""
"LAWS","Lawson Products...","209","--","0.16","--","56.25%","--",""
"UNT","Unit Corporatio...","1,214","--","0.15","--","50.82%","--",""
"DNR","Denbury Resourc...","917","--","0.06","--","36.36%","--",""
"HMHC","Houghton Miffli...","981","bmo","-0.91","--","35.34%","--",""
"BMRN","Biomarin Pharma...","15,950","amc","-0.23","--","31.18%","--",""
"BNFT","Benefitfocus, I...","758","--","-0.06","--","28.20%","--",""
"SMLP","Summit Midstrea...","1,659","amc","0.21","--","23.81%","--",""
"EBS","Emergent Biosol...","2,362","--","0.60","--","22.65%","--",""
"DYN","Dynegy Inc.","1,776","--","-0.43","--","22.35%","--",""
"MELI","Mercadolibre, I...","16,267","amc","0.57","--","21.05%","--",""
"ADSW","Advanced Dispos...","2,126","amc","0.14","--","16.36%","--",""
"CCO","Clear Channel O...","1,711","--","0.04","--","14.29%","--",""
"IRDM","Iridium Communi...","1,195","bmo","0.11","--","14.29%","--",""
"TNK","Teekay Tankers...","217","--","-0.06","--","13.79%","--",""
"ZOES","Zoe's Kitchen,...","271","--","-0.13","--","13.16%","--",""
"FCN","Fti Consulting,...","1,622","bmo","0.50","--","12.00%","--",""
"ALDR","Alder Biopharma...","933","--","-1.08","--","10.70%","--",""
"CJ","C&j Energy Serv...","2,057","bmo","0.26","--","10.69%","--",""
"SAFM","Sanderson Farms...","2,968","bmo","1.07","--","10.07%","--",""
"VALE","Vale S.a.","65,429","--","0.24","--","9.47%","--",""
"LNT","Alliant Energy...","8,996","amc","0.38","--","9.33%","--",""
"LADR","Ladder Capital...","1,583","--","0.41","--","8.64%","--",""
"CNP","Centerpoint Ene...","11,875","bmo","0.30","--","7.62%","--",""
"DSX","Diana Shipping...","369","bmo","-0.16","--","7.20%","--",""
"MAXR","Maxar Technolog...","3,447","--","1.10","--","6.95%","--",""
"MAIN","Main Street Cap...","2,173","amc","0.59","--","6.18%","--",""
"HURN","Huron Consultin...","905","--","0.74","--","4.93%","--",""
"TGP","Teekay Lng Part...","1,553","--","0.32","--","4.21%","--",""
"SFM","Sprouts Farmers...","3,589","bmo","0.15","--","4.20%","--",""
"OBLN","Obalon Therptcs...","93","--","-0.48","--","4.17%","--",""
"SSTK","Shutterstock, I...","1,517","bmo","0.34","--","4.17%","--",""
"ACIW","Aci Worldwide,...","2,734","bmo","0.43","--","4.05%","--",""
"HTGC","Hercules Capita...","1,067","amc","0.29","--","4.05%","--",""
"SPAR","Spartan Motors,...","493","--","0.09","--","3.85%","--",""
"CHK","Chesapeake Ener...","3,026","bmo","0.24","--","3.52%","--",""
"RH","Restoration Har...","1,961","--","1.55","--","3.26%","--",""
"TREE","Lendingtree, In...","4,198","bmo","0.88","--","3.12%","--",""
"MTZ","Mastec, Inc.","4,415","--","0.37","--","3.10%","--",""
"AMH","American Homes...","5,806","amc","0.26","--","3.05%","--",""
"STOR","Store Capital C...","4,505","bmo","0.41","--","3.00%","--",""
"SRC","Spirit Realty C...","3,606","bmo","0.22","--","2.94%","--",""
"NVCR","Novocure Limite...","1,903","bmo","-0.13","--","2.50%","--",""
"OLED","Universal Displ...","7,331","amc","0.82","--","2.44%","--",""
"W","Wayfair Inc.","7,973","bmo","-0.51","--","2.44%","--",""
"OEC","Orion Engineere...","1,717","amc","0.42","--","2.38%","--",""
"NEM","Newmont Mining...","20,784","bmo","0.40","--","2.31%","--",""
"AAWW","Atlas Air World...","1,386","bmo","2.08","--","2.16%","--",""
"SERV","Servicemaster G...","7,092","--","0.34","--","2.07%","--",""
"APLP","Archrock Partne...","963","bmo","0.09","--","1.79%","--",""
"CRZO","Carrizo Oil & G...","1,553","--","0.55","--","1.75%","--",""
"RDUS","Radius Health,...","1,633","--","-1.48","--","1.69%","--",""
"MCRN","Milacron Holdin...","1,299","--","0.39","--","1.52%","--",""
"SEM","Select Medical...","2,335","amc","0.19","--","1.33%","--",""
"MGA","Magna Internati...","19,638","bmo","1.58","--","1.25%","--",""
"ORA","Ormat Technolog...","3,441","bmo","0.55","--","1.21%","--",""
"TTC","Toro Company (t...","6,911","bmo","0.44","--","1.15%","--",""
"ZBRA","Zebra Technolog...","6,422","--","2.12","--","1.06%","--",""
"NDSN","Nordson Corpora...","8,193","amc","1.35","--","1.02%","--",""
"LKQ","Lkq Corporation...","12,649","bmo","0.42","--","0.92%","--",""
"CM","Canadian Imperi...","42,088","--","2.23","--","0.90%","--",""
"CBPX","Continental Bui...","1,030","amc","0.32","--","0.79%","--",""
"WING","Wingstop Inc.","1,394","amc","0.16","--","0.27%","--",""
"SCG","Scana Corporati...","5,598","bmo","0.98","--","0.26%","--",""
"PF","Pinnacle Foods,...","7,148","--","0.94","--","-0.13%","--",""
"APLE","Apple Hospitali...","4,178","amc","0.36","--","-0.23%","--",""
"AL","Air Lease Corpo...","4,861","amc","0.87","--","-0.31%","--",""
"HRTX","Heron Therapeut...","1,399","--","-0.78","--","-0.43%","--",""
"PEB","Pebblebrook Hot...","2,593","amc","0.43","--","-0.58%","--",""
"TFX","Teleflex Incorp...","12,270","--","2.40","--","-0.63%","--",""
