"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"IBP","Installed Build...","2,128","--","0.62","--","-6.45%","--",""
"AMSF","Amerisafe, Inc....","1,174","amc","0.83","--","-6.86%","--",""
"CRD.B","Crawford & Comp...","526","--","0.18","--","-7.27%","--",""
"AXDX","Accelerate Diag...","1,582","--","-0.33","--","-10.77%","--",""
"SBAC","Sba Communicati...","20,359","amc","0.18","--","-11.11%","--",""
"CPK","Chesapeake Util...","1,184","--","0.85","--","-14.12%","--",""
"SNH","Senior Housing...","3,983","--","0.37","--","-15.54%","--",""
"BCRX","Biocryst Pharma...","428","--","-0.14","--","-18.36%","--",""
"HTZ","Hertz Global Ho...","1,864","--","-0.58","--","-18.97%","--",""
"RNN","Rexahn Pharmace...","64","--","-0.14","--","-39.02%","--",""
"KTOS","Kratos Defense...","1,172","--","0.07","--","-39.39%","--",""
"VST","Vistra Energy C...","8,204","bmo","0.03","--","-60.00%","--",""
"AAC","Aac Holdings, I...","195","--","0.04","--","NA","--",""
"AFSI","Amtrust Financi...","2,519","--","0.24","--","NA","--",""
"AMSSY","Ams Ag Unsponso...","NA","--","0.71","--","NA","--",""
"AMWD","American Woodma...","2,268","--","0.89","--","NA","--",""
"AWI","Armstrong World...","3,324","--","0.66","--","NA","--",""
"AY","Atlantica Yield...","2,071","--","-0.19","--","NA","--",""
"BEL","Belmond Ltd.","1,254","amc","-0.05","--","NA","--",""
"BID","Sotheby's","2,749","--","1.40","--","NA","--",""
"BSM","Black Stone Min...","1,830","--","0.17","--","NA","--",""
"CCU","Compania Cervec...","5,393","--","0.45","--","NA","--",""
"CLDT","Chatham Lodging...","980","bmo","0.38","--","NA","--",""
"CRC","California Reso...","885","amc","-0.85","--","NA","--",""
"DK","Delek Us Holdin...","2,688","amc","0.40","--","NA","--",""
"DKL","Delek Logistics...","758","amc","0.60","--","NA","--",""
"EVGN","Evogene Ltd.","93","--","-0.18","--","NA","--",""
"FLGT","Fulgent Genetic...","80","--","-0.02","--","NA","--",""
"GNL","Global Net Leas...","1,180","--","0.51","--","NA","--",""
"HHC","Howard Hughes C...","5,351","amc","0.27","--","NA","--",""
"IPWR","Ideal Power Inc...","17","--","-0.17","--","NA","--",""
"JKS","Jinkosolar Hold...","699","--","0.23","--","NA","--",""
"KND","Kindred Healthc...","828","--","0.20","--","NA","--",""
"KNSL","Kinsale Capital...","1,000","amc","0.39","--","NA","--",""
"KOS","Kosmos Energy L...","2,593","bmo","-0.06","--","NA","--",""
"KRA","Kraton Corporat...","1,504","--","0.79","--","NA","--",""
"LUK","Leucadia Nation...","9,366","--","0.47","--","NA","--",""
"MDCA","Mdc Partners In...","516","--","0.21","--","NA","--",""
"MESO","Mesoblast Limit...","508","--","-0.19","--","NA","--",""
"MHLD","Maiden Holdings...","588","--","0.19","--","NA","--",""
"NGHC","National Genera...","2,099","--","0.21","--","NA","--",""
"NTRI","Nutrisystem Inc...","1,299","--","0.41","--","NA","--",""
"NVAX","Novavax, Inc.","646","--","-0.15","--","NA","--",""
"OCX","Oncocyte Corpor...","124","--","-0.13","--","NA","--",""
"OFIX","Orthofix Intern...","1,043","--","0.50","--","NA","--",""
"OPTN","Optinose, Inc.","696","--","-0.46","--","NA","--",""
"RAIL","Freightcar Amer...","188","--","-0.35","--","NA","--",""
"RTTR","Ritter Pharmace...","16","--","-0.05","--","NA","--",""
"SNHY","Sun Hydraulics...","1,530","amc","0.26","--","NA","--",""
"SWX","Southwest Gas C...","3,447","--","1.50","--","NA","--",""
"SYKE","Sykes Enterpris...","1,304","amc","0.40","--","NA","--",""
"TCP","Tc Pipelines, L...","3,676","--","0.78","--","NA","--",""
"VET","Vermilion Energ...","4,459","--","0.16","--","NA","--",""
"VTVT","Vtv Therapeutic...","243","--","-0.42","--","NA","--",""
"WHLR","Wheeler Real Es...","46","--","0.37","--","NA","--",""
"ZTO","Zto Express Inc...","7,892","--","0.24","--","NA","--",""
