"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"SEND","Sendgrid, Inc.","892","amc","0.00","--","600.00%","--",""
"SEMG","Semgroup Corpor...","2,176","bmo","0.03","--","372.73%","--",""
"GPL","Great Panther S...","204","--","0.01","--","100.00%","--",""
"APPF","Appfolio, Inc.","1,388","--","0.09","--","44.44%","--",""
"CRK","Comstock Resour...","130","bmo","-0.98","--","25.76%","--",""
"EXEL","Exelixis, Inc.","8,941","--","0.12","--","21.98%","--",""
"ANTH","Anthera Pharmac...","22","--","-0.72","--","20.47%","--",""
"EMES","Emerge Energy S...","251","bmo","0.31","--","12.18%","--",""
"ESV","Ensco Plc","3,199","--","-0.27","--","8.33%","--",""
"RP","Realpage, Inc.","4,057","--","0.26","--","7.69%","--",""
"FRAC","Keane Group, In...","1,775","amc","0.28","--","5.62%","--",""
"EHTH","Ehealth, Inc.","301","--","-1.14","--","5.10%","--",""
"DRH","Diamondrock Hos...","2,298","amc","0.23","--","4.76%","--",""
"RSPP","Rsp Permian, In...","6,074","--","0.31","--","3.56%","--",""
"HSII","Heidrick & Stru...","488","amc","0.32","--","3.17%","--",""
"WDAY","Workday, Inc.","24,673","--","0.20","--","2.58%","--",""
"PDCE","Pdc Energy, Inc...","3,312","amc","0.17","--","1.96%","--",""
"GMED","Globus Medical,...","4,399","--","0.35","--","1.56%","--",""
"AIMC","Altra Industria...","1,459","--","0.49","--","1.03%","--",""
"PANW","Palo Alto Netwo...","14,259","amc","0.79","--","0.84%","--",""
"TRTX","Tpg Re Finance...","1,119","amc","0.40","--","0.84%","--",""
"BWXT","Bwx Technologie...","6,338","--","0.48","--","0.72%","--",""
"EHC","Encompass Healt...","5,086","amc","0.66","--","0.57%","--",""
"PCLN","The Priceline G...","90,668","--","14.12","--","0.55%","--",""
"MEDP","Medpace Holding...","1,352","--","0.39","--","0.43%","--",""
"JBT","John Bean Techn...","3,597","--","1.08","--","-0.32%","--",""
"APTS","Preferred Apart...","608","--","0.35","--","-0.48%","--",""
"HYH","Halyard Health,...","2,263","--","0.49","--","-0.51%","--",""
"TBPH","Theravance Biop...","1,335","--","-1.15","--","-0.87%","--",""
"NSA","National Storag...","1,218","bmo","0.31","--","-1.36%","--",""
"TWOU","2u, Inc.","3,786","amc","0.13","--","-1.52%","--",""
"RVNC","Revance Therape...","1,127","--","-0.98","--","-2.71%","--",""
"OKE","Oneok, Inc.","23,705","amc","0.51","--","-2.93%","--",""
"THC","Tenet Healthcar...","1,843","amc","1.30","--","-3.71%","--",""
"DF","Dean Foods Comp...","902","bmo","0.26","--","-3.85%","--",""
"FRGI","Fiesta Restaura...","497","amc","0.13","--","-4.00%","--",""
"TCMD","Tactile Systems...","563","amc","0.14","--","-4.88%","--",""
"CLGX","Corelogic, Inc....","3,797","amc","0.51","--","-5.52%","--",""
"WBT","Manitowoc Food...","3,082","bmo","0.25","--","-6.00%","--",""
