"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"LSCC","Lattice Semicon...","777","--","0.03","--","NA","--",""
"MRT","Medequities Rea...","344","bmo","0.31","--","NA","--",""
"NEO","Neogenomics, In...","625","bmo","0.04","--","NA","--",""
"P","Pandora Media,...","1,264","amc","-0.07","--","NA","--",""
"PHH","Phh Corp","281","--","-1.68","--","NA","--",""
"RDSMY","Koninklijke Dsm...","18,087","--","0.26","--","NA","--",""
"ROKU","Roku, Inc.","3,958","amc","-0.11","--","NA","--",""
"RUSHA","Rush Enterprise...","2,046","--","0.55","--","NA","--",""
"SAIL","Sailpoint Techn...","1,300","amc","0.09","--","NA","--",""
"SBPH","Spring Bank Pha...","167","--","-0.65","--","NA","--",""
"SJW","Sjw Corporation...","1,209","amc","0.44","--","NA","--",""
"SUI","Sun Communities...","6,928","amc","0.98","--","NA","--",""
"SWM","Schweitzer-maud...","1,340","--","0.61","--","NA","--",""
"TILE","Interface, Inc....","1,467","amc","0.30","--","NA","--",""
"TREX","Trex Company, I...","3,244","amc","0.54","--","NA","--",""
"TS","Tenaris S.a.","19,963","amc","0.21","--","NA","--",""
"TSLX","Tpg Specialty L...","1,153","amc","0.44","--","NA","--",""
"TTS","Tile Shop Hldgs...","443","bmo","0.05","--","NA","--",""
"TUSK","Mammooth Energy...","971","amc","0.42","--","NA","--",""
"UFPI","Universal Fores...","2,230","amc","0.43","--","NA","--",""
"VDSI","Vasco Data Secu...","574","amc","0.05","--","NA","--",""
"VPG","Vishay Precisio...","361","bmo","0.31","--","NA","--",""
"WPG","Washington Prim...","1,154","amc","0.44","--","NA","--",""
"Y","Alleghany Corpo...","9,510","amc","7.58","--","NA","--",""
