"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"BCC","Boise Cascade,...","1,668","--","0.29","--","15.79%","--",""
"GLPG","Galapagos Nv","6,011","--","-0.71","--","8.02%","--",""
"CLMT","Calumet Special...","564","--","-0.55","--","4.88%","--",""
"ETR","Entergy Corpora...","13,695","bmo","0.42","--","4.27%","--",""
"HUN","Huntsman Corpor...","7,791","bmo","0.65","--","3.27%","--",""
"DFRG","Del Frisco's Re...","373","--","0.43","--","2.92%","--",""
"RY","Royal Bank Of C...","121,099","--","1.54","--","0.65%","--",""
"LPNT","Lifepoint Healt...","1,916","bmo","0.81","--","-0.80%","--",""
"PEG","Public Service...","25,322","bmo","0.56","--","-1.08%","--",""
"COG","Cabot Oil & Gas...","11,651","bmo","0.11","--","-2.19%","--",""
"RHP","Ryman Hospitali...","3,750","bmo","1.61","--","-3.54%","--",""
"VNTR","Venator Materia...","2,234","bmo","0.66","--","-10.61%","--",""
"RLGY","Realogy Holding...","3,581","--","0.24","--","-11.89%","--",""
"PNW","Pinnacle West C...","8,685","bmo","0.10","--","-12.20%","--",""
"SSP","E.w. Scripps Co...","1,287","--","0.05","--","-40.00%","--",""
"USM","United States C...","3,038","--","-0.08","--","-56.52%","--",""
"ADMA","Adma Biologics...","96","--","-0.51","--","NA","--",""
"ARII","American Railca...","729","--","0.48","--","NA","--",""
"ASIX","Advansix Inc.","1,168","bmo","0.50","--","NA","--",""
"BASFY","Basf Se","102,982","--","0.43","--","NA","--",""
"BRK.B","Berkshire Hatha...","515,938","--","1.77","--","NA","--",""
"CBD","Companhia Brasi...","5,974","--","0.30","--","NA","--",""
"CCC","Calgon Carbon C...","1,082","--","0.14","--","NA","--",""
"DGICA","Donegal Group,...","471","bmo","0.39","--","NA","--",""
"ECC","Eagle Point Cre...","337","--","0.45","--","NA","--",""
"ERF","Enerplus Corpor...","2,644","bmo","0.13","--","NA","--",""
"HMSY","Hms Holdings Co...","1,370","--","0.22","--","NA","--",""
"ICAGY","International C...","7,238","--","0.57","--","NA","--",""
"KBR","Kbr, Inc.","2,741","--","0.30","--","NA","--",""
"KOF","Coca Cola Femsa...","15,980","--","0.98","--","NA","--",""
"MTLS","Materialise Nv","594","--","0.02","--","NA","--",""
"NWN","Northwest Natur...","1,638","bmo","0.97","--","NA","--",""
"RAS","Rait Financial...","45","--","0.01","--","NA","--",""
"SATS","Echostar Corpor...","5,861","--","0.11","--","NA","--",""
"TDS","Telephone And D...","2,922","--","-0.02","--","NA","--",""
"TWI","Titan Internati...","775","bmo","-0.13","--","NA","--",""
