"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"GPC","Genuine Parts C...","14,982","bmo","1.09","--","NA","--",""
"GSS","Golden Star Res...","296","amc","0.04","--","NA","--",""
"HAIR","Restoration Rob...","152","--","-0.16","--","NA","--",""
"HCI","Hci Group, Inc....","347","--","0.82","--","NA","--",""
"HEP","Holly Energy Pa...","3,096","bmo","0.50","--","NA","--",""
"HSBC","Hsbc Holdings P...","213,111","--","0.60","--","NA","--",""
"HVT","Haverty Furnitu...","464","amc","0.32","--","NA","--",""
"IPHS","Innophos Holdin...","879","--","0.56","--","NA","--",""
"IRT","Independence Re...","741","bmo","0.19","--","NA","--",""
"LAND","Gladstone Land...","166","amc","0.15","--","NA","--",""
"LMAT","Lemaitre Vascul...","678","--","0.19","--","NA","--",""
"LPSN","Liveperson, Inc...","690","amc","0.01","--","NA","--",""
"LZB","La-z-boy Incorp...","1,398","amc","0.45","--","NA","--",""
"MGP","Mgm Growth Prop...","1,975","bmo","0.53","--","NA","--",""
"MIC","Macquarie Infra...","5,461","--","0.61","--","NA","--",""
"MNTA","Momenta Pharmac...","1,215","--","0.06","--","NA","--",""
"NGVT","Ingevity Corpor...","3,072","amc","0.36","--","NA","--",""
"NYMT","New York Mortga...","620","--","0.13","--","NA","--",""
"PGTI","Pgt, Inc.","777","bmo","0.14","--","NA","--",""
"PWR","Quanta Services...","5,584","--","0.44","--","NA","--",""
"PZZA","Papa John's Int...","2,144","--","0.69","--","NA","--",""
"SAND","Sandstorm Gold...","904","--","0.02","--","NA","--",""
"SE","Sea Limited Spo...","3,902","--","-0.66","--","NA","--",""
"SRT","Startek, Inc.","191","--","-0.01","--","NA","--",""
"SSTI","Shotspotter Inc...","160","amc","-0.05","--","NA","--",""
"STFC","State Auto Fina...","1,239","bmo","0.47","--","NA","--",""
"TROX","Tronox Limited","2,162","amc","0.03","--","NA","--",""
"TVPT","Travelport Worl...","1,689","bmo","0.23","--","NA","--",""
"TX","Ternium S.a.","6,746","amc","0.46","--","NA","--",""
"VLRX","Valeritas Holdi...","21","--","-1.69","--","NA","--",""
"VSAR","Versartis, Inc....","64","--","-0.88","--","NA","--",""
"WLKP","Westlake Chemic...","651","--","0.43","--","NA","--",""
"XCRA","Xcerra Corporat...","546","--","0.15","--","NA","--",""
