ADAP,20180312,5,618520.69,-0.25,783.22,YES,,3
ADBE,20180315,13,2949789.5,1.16,91020.67,YES,0,3
ADC,20180222,8,183972.75,0.69,1293.39,YES,-0.36,3
ADDYY,20180314,5,52240.6,0.05,43964.9,NO,,3
ADES,20180312,1,154292.2,0.33,173.78,NO,,4
ADFS,,,45598.1,,0.22,NO,,
ADI,20180228,13,3775862,1.29,30812.69,YES,-0.08,3
ADLS,,,2673.1,,0,NO,,
ADM,20180501,6,3943980,0.7,23125,YES,1.15,3
ADMA,20180223,2,78318.7,-0.51,93.89,NO,,
ADMP,20180329,2,525534.38,-0.15,123.53,YES,,3
ADMS,20180227,4,924704.88,-1.15,923.15,YES,,3
ADMT,,,50722.75,,10.81,NO,,
ADNT,20180427,5,2026121.63,1.11,5673.93,YES,0,4
ADOM,,,485588.16,,111.19,NO,,
ADP,20180502,10,2057395.25,0.89,47983.94,YES,0.69,2
ADRNY,20180307,1,126106.2,0.31,26680.39,NO,,3
ADRO,20180307,5,538847.06,-0.36,467.69,YES,2.78,3
ADS,20180419,14,729816.13,5,13292.83,YES,0.04,2
ADSK,20180306,12,2054237.25,-0.12,23086.16,YES,-3.6,4
ADST,,,8500,,0,NO,,
ADSV,,,7947542.5,,0.16,NO,,
ADSW,20180222,4,307574.25,0.14,2032.64,YES,9.09,3
ADT,,,11968683,,9264.49,YES,,
ADTM,,,175759984,,0.06,NO,,
ADTN,20180417,1,785673.56,-0.04,765.58,YES,0,4
ADUS,20180305,2,20367.95,0.44,416.99,YES,1.15,3
ADVC,,,1292.1,,298.97,NO,,
ADVM,20180305,2,1955123.63,-0.35,393.05,YES,-4.35,3
ADX,,,308912.75,,1441.78,NO,,
ADXS,20180309,2,863339.31,-0.58,112.17,YES,,
AE,20180321,,5513.8,,172.52,NO,,
AEE,20180216,3,1834467.63,0.33,12760.16,YES,3.03,3
AEG,20180215,,3796461.25,,13239.6,YES,,3
AEGG,20180220,,9062.05,,2.9,NO,,
AEGN,20180227,3,115537.25,0.23,777.72,YES,,5
AEHR,20180329,1,131419.5,0,49.49,NO,,3
AEIS,20180507,5,500411.34,1.21,2474.62,YES,0,2
AEL,20180502,4,592913.19,0.67,2696.91,YES,0,2
AEM,20180214,6,1259399.25,0.2,10068.51,YES,5.76,3
AEMD,20180627,2,413004.91,-0.12,23.71,NO,0,
AEO,20180308,10,2860763.25,0.44,3095.8,YES,0.45,2
AEP,20180426,6,4105328,0.81,31175.7,YES,0,3
AEPT,,,618446.44,,0,NO,,3
AER,20180214,6,1229354,1.38,8054.07,YES,-2.55,5
AERG,20180213,,114215.15,,8.84,NO,,
AERI,20180306,3,417091.5,-1.47,2018.5,YES,-4.08,3
AERN,,,12540.35,,0.14,NO,,
AERO,20180212,,27053.55,,82.39,NO,,
AES,20180227,3,12651166,0.32,6643.49,YES,0,5
AET,20180501,9,2641324.5,1.18,58170.4,YES,0,3
AETI,20180327,,21922.5,,11.7,NO,,
AETUF,20180214,,35325.45,,3516.33,NO,,
AEXAY,20180221,,5270.9,,15249.17,NO,,
AEY,20180213,,20868.65,,14.41,NO,,
AEYE,20180221,,345533.59,,32.57,NO,,
AEZS,20180321,1,1103627.13,-0.37,32.06,YES,,3
AFAM,20180306,5,151458.05,0.58,794.08,YES,6.9,5
AFFMQ,,,1695.05,,0.02,NO,,
AFFY,,,5870.85,,0.9,NO,,
AFG,20180502,3,364038.31,1.65,9572.54,YES,0,1
AFH,20180312,1,31385.85,-0.09,223.17,YES,0,1
AFI,20180306,2,85985.65,-0.2,371.73,YES,,3
AFL,20180426,7,3172649.5,1.55,32505.38,YES,0,2
AFLYY,20180215,1,15484.1,0.5,5647.25,NO,0,2
AFMD,20180329,4,1144713.13,-0.17,107.21,YES,-13.43,3
AFSI,20180226,3,1219807.25,0.24,2456.21,YES,,2
AFTM,20180215,,34276.65,,10.03,NO,,
AG,20180228,2,5621763,-0.01,900.95,YES,0,4
AGCO,20180427,9,834998.38,1.11,5385.49,YES,-6.58,3
AGCZ,,,3653.45,,0.05,NO,,
AGEN,20180308,2,1215619.63,-0.28,378.29,YES,,3
AGESY,20180221,,7953.75,,10486.75,NO,,3
AGFS,20180308,,149131.95,,364.95,YES,,
AGG,,,4760874.5,,53588.97,YES,,
AGHC,20180626,,1711.85,,5.29,NO,,
AGI,20180222,4,2093147.25,0.05,2089.25,YES,0,3
AGII,20180212,1,159204.7,0.89,1731.14,NO,0,5
AGIO,20180214,5,916513.69,-1.65,4136.84,YES,,3
AGLE,20180322,1,83200.1,-0.55,103.03,NO,,3
AGM,20180308,,46855.3,,793.12,YES,,
AGN,20180508,20,3171277.5,4.75,54610.14,YES,-0.89,3
AGNC,20180425,4,5104778,0.62,7231.22,YES,0,3
AGNU,20180213,,8833.15,,3.13,NO,,
AGO,20180222,,1107066.75,,3987.56,YES,,
AGR,20180220,4,595917.5,0.61,14257.5,YES,-7.44,3
AGRO,20180315,1,642268.38,0.16,1152.07,YES,0,4
AGRX,20180314,5,212964.41,-0.23,111.79,YES,10.26,
AGS,,,820287.31,,643.99,NO,,
AGTC,20180209,3,110677.5,-0.09,76.9,YES,,4
AGTK,20180213,,12088426,,14.28,NO,,
AGX,20180409,1,219566.34,0.89,604.84,YES,,
AGYS,20180607,,41514.3,,267.17,YES,,
AGZ,,,18722.7,,446.08,NO,,
AHAG,,,1840.3,,0.07,NO,,
AHC,20180302,,36725.7,,108.76,YES,,
AHCHY,20180322,,8345.9,,6360.24,NO,,1
AHEXY,20180301,1,12512.75,0.64,12970.2,NO,,3
AHGP,20180507,1,104524.35,0.87,1605.53,YES,0,2
AHH,20180501,7,292945.75,0.24,579.68,YES,0,3
AHIX,,,10707951,,0,NO,,
AHKSY,20180213,,16978.95,,16592.95,NO,,2
AHL,20180425,1,901658.31,-3.46,2200.54,YES,0,5
AHP,20180208,3,274207.75,0.3,277.53,YES,,3
AHPI,20180213,,9955.65,,7.14,NO,,
AHROQ,,,6090,,0.07,NO,,
AHT,20180301,4,461229,0.21,540.66,YES,0,3
AI,20180424,1,601765.38,0.54,303.91,YES,0,1
AIFS,20180221,,840,,3.63,NO,,
AIG,20180502,7,6287569,0.78,52391.35,YES,5.77,3
AIMC,20180221,2,113817.4,0.49,1352.52,YES,1.03,3
AIMT,20180321,5,420108.5,-0.7,1860.59,YES,,3
AIN,20180503,1,127340.2,0.4,2010.89,YES,0,3
AINC,20180301,1,1443.9,1.64,192.53,NO,,4
AINV,20180517,6,912610.5,0.16,1186.55,YES,-0.65,3
AIPT,20180321,,1799078.63,,12.81,NO,,
AIQUY,20180215,,89311.8,,51716.52,NO,,3
AIR,20180320,3,283142.41,0.33,1338.47,YES,5.7,3
AIRG,20180215,3,75161.35,0.07,93.49,YES,,3
AIRI,20180418,1,60798.35,-0.09,30.97,NO,,4
AIRT,20180212,,1457,,59.14,NO,,
AIRYY,20180424,,1575.35,,5956.58,NO,,3
AIT,20180426,3,297833.19,0.71,2639.54,YES,0,1
AITB,20180330,1,1169.55,-0.5,30.36,NO,,4
AIV,20180426,7,1163272.88,0.63,5978.99,YES,1.08,3
AIVN,20180212,,12455,,5.76,NO,,
AIZ,20180501,2,373004.81,1.58,4478.86,YES,0,3
AJG,20180426,9,1301413.25,0.75,11658.91,YES,0,2
AJINY,20180213,,2245.8,,9984.73,NO,,
AJMPF,,,3459.55,,4279.6,NO,,4
AJRD,20180307,3,888325.19,0.25,1857.97,YES,-8,5
AJX,20180307,3,39922.7,0.42,234.72,NO,0,3
AKAM,20180501,14,2023652.25,0.63,10570.29,YES,7.57,3
AKAO,20180313,7,1225155.5,-0.79,451.07,YES,-4.87,3
AKBA,20180305,2,280894.5,-0.18,661.77,YES,,3
AKBTY,20180213,,179661.16,,10580,NO,,
AKCA,20180212,3,248544.3,-0.23,1433.97,YES,,3
AKER,20180410,,24696654,,11.23,NO,,
AKG,20180315,1,1562960.5,0.01,167.44,YES,,3
AKO.A,20180227,,11265.8,,4015.04,NO,,
AKO.B,20180227,1,39961.65,0.39,2270.17,NO,,
AKR,20180221,4,655426.81,0.33,1833.99,YES,0,5
AKRX,,1,1248018.63,0.15,3900.95,YES,,3
AKS,20180424,8,22866642,-0.14,1435.87,YES,0,3
AKTS,,1,104426.55,-0.08,129.13,NO,,
AKTX,20180330,1,240896.8,-1,26.97,NO,,3
AKZOY,20180308,1,62471.8,0.31,23495.24,NO,0,3
AL,20180222,5,565702.31,0.87,4521.92,YES,-0.31,1
ALAN,20180213,,19940.75,,0.07,NO,,
ALB,20180227,10,2751882,1.2,11621.93,YES,-2.41,3
ALBO,,4,127200.7,-0.78,373.88,NO,3.54,4
ALBY,,,1029.4,,8.2,NO,,
ALCO,20180514,,5428.3,,215.72,NO,,
ALDR,20180222,4,1803034.75,-1.08,898.92,YES,,4
ALDX,20180329,2,100995.7,-0.32,129.04,NO,4.76,3
ALE,20180215,3,301580.19,0.79,3499.28,YES,-5.3,3
ALEX,20180227,,516870.19,,1593.87,YES,,
ALG,20180306,2,55699.05,0.98,1276.54,YES,,3
ALGI,,,10253.95,,0.04,NO,,
ALGN,20180426,9,1442558.75,0.96,17696.02,YES,0,3
ALGT,20180424,8,207243.55,1.77,2530.66,YES,0,2
ALGXY,,,727.7,,9.27,NO,,
ALIF,,,53052.75,,1.35,NO,,
ALIM,20180307,2,161069.45,-0.03,75.37,YES,33.33,3
ALJJ,20180212,,39233.65,,112.11,NO,,
ALK,20180425,9,3702237.5,0.81,7880.83,YES,0,4
ALKS,20180214,4,927772.5,0.21,8253.15,YES,3.53,3
ALL,20180501,8,2779736,1.5,31971.3,YES,3.84,2
ALLE,20180220,3,666780.38,0.94,7348.7,YES,0.53,3
ALLT,20180508,2,84476.6,-0.02,168.26,YES,-37.5,3
ALLWF,,,14406.25,,538.91,NO,,
ALLY,20180426,8,3913118,0.59,11892.24,YES,-0.37,1
ALN,,,779881,,7.27,NO,,
ALNA,20180308,2,50561.4,-0.33,152.13,NO,,3
ALNPY,20180209,,1907.95,,13454.8,NO,,
ALNY,20180504,8,974613,-1.38,11437.84,YES,-8.95,3
ALO,20180314,1,128113.8,-0.04,132.7,NO,0,3
ALOG,20180305,1,85584.7,0.68,974.43,YES,,3
ALOT,20180321,,14538.3,,87.56,NO,,
ALPMY,20180426,,94312.85,,27784.29,NO,,
ALPN,20180212,1,9809.65,-0.44,146.46,NO,,3
ALQA,20180306,1,137612.66,-0.55,8.63,YES,,3
ALRM,20180227,7,455236.41,0.24,1650.39,YES,-3.59,1
ALRN,20180208,3,20642.2,-0.46,113.78,NO,,3
ALRT,,,793176.94,,10.83,NO,,
ALSK,20180313,,115199.25,,118.01,YES,,
ALSMY,,,6823.55,,9010.44,NO,,3
ALSN,20180214,8,1201458,0.59,5922.77,YES,9.09,1
ALSWF,20180213,1,1351.75,0.01,227.49,NO,0,3
ALT,20180313,1,153880.3,-0.5,23.95,YES,,
ALTR,20180301,3,222050.25,0.06,1590.77,NO,,3
ALTX,,,5016.7,,0.91,NO,,
ALV,20180427,5,740198.38,1.73,11984.25,YES,0,3
ALVRQ,,,3832,,0.03,NO,,
ALX,20180213,,6571.45,,1736.74,NO,,
ALXN,20180426,13,1877170,1.28,24045.78,YES,0.9,3
ALYE,,,3683.05,,6.04,NO,,
AM,20180213,7,443907.19,0.31,5184.53,YES,0,4
AMADY,20180228,,17987.5,,30888.75,NO,,
AMAG,20180213,3,888063.31,-0.33,435.1,YES,-146,3
AMAR,20180413,,3650.05,,6.27,NO,,
AMAT,20180214,9,13495008,0.98,48119.98,YES,2.55,2
AMBA,20180301,8,1087964.25,0.37,1538.76,YES,-2.7,3
AMBC,20180227,,410194.66,,661.57,YES,,
AMBK,,,919.95,,68.43,NO,,
AMBR,20180215,2,85064.8,-0.05,187.49,YES,,3
AMBS,,,280952.06,,5.13,NO,,
AMBTQ,,,540.7,,0,NO,,
AMBZ,20180209,,5851,,293.72,NO,,
AMC,20180301,3,1993162.38,0.29,1773.89,YES,4.65,3
AMCF,,,3647.95,,0.19,NO,,
AMCN,20180627,,615486.13,,66.58,YES,,
AMCO,,,2840.1,,0,NO,,
AMCRY,,,88984.05,,12872.73,NO,,
AMCX,20180301,7,736859.19,1.49,3129.03,YES,-0.13,3
AMD,20180507,10,60466956,0.05,10825.04,YES,8.72,3
AMDA,20180918,,27742.5,,8.04,NO,,3
AME,20180501,9,1290158.25,0.67,16652,YES,0,2
AMED,20180227,7,334041.94,0.59,1874.66,YES,-0.61,3
AMEH,,,39657.5,,693.2,NO,,
AMG,20180507,5,445781.25,4.57,9955.28,YES,0,2
AMGN,20180425,11,4199275.5,3.04,124876.55,YES,0,3
AMGP,20180213,4,672876.88,0.08,3643.58,YES,-6.67,3
AMGY,,,3109.75,,0.07,NO,,
AMH,20180222,5,2120721.5,0.26,5370.6,YES,3.05,3
AMID,20180326,2,161608.41,-0.39,903.75,YES,,
AMIN,,,2532.25,,0.55,NO,,
AMKBY,20180209,,82493.45,,17122.95,NO,,4
AMKR,20180212,1,817620.31,0.19,2110.45,YES,,3
AMLM,,,104085.05,,2.53,NO,,
AMLZF,,,1000.05,,1,NO,,
AMMA,,,335298.25,,9.7,NO,,
AMMX,20180403,,320706.94,,2.25,NO,,
AMN,20180215,4,435580.69,0.63,2438.78,YES,-0.4,3
AMNB,20180419,1,8235.75,0.55,311.42,YES,0,2
AMNF,20180209,,17093.8,,80.26,NO,,
AMNL,20180402,1,183727.84,-0.02,16.52,NO,,
AMNP,,,13770.15,,1.41,NO,,
AMOT,20180312,2,36040.75,0.23,282.27,YES,,3
AMP,20180423,3,1277891.75,3.06,22559.32,YES,0,2
AMPE,20180315,,783435.06,,227.82,YES,,
AMPH,20180312,4,157375.84,-0.04,820.67,YES,264.71,1
AMRB,20180419,2,11651.55,0.19,91.68,NO,0,2
AMRC,20180301,2,65713.85,0.13,366.3,YES,,3
AMRH,20180405,1,192675.25,-0.2,33.28,NO,0,3
AMRK,20180508,1,15998,-0.12,85.29,NO,0,3
AMRN,20180227,3,3121099.75,-0.04,942.66,YES,,4
AMRS,20180301,3,363082.44,0.04,208.71,YES,-427.27,4
AMS,20180322,,8055.35,,14.27,NO,,
AMSC,20180524,4,369956.25,-0.35,94.43,YES,0,3
AMSF,20180226,3,68792.15,0.83,1102.68,YES,-6.86,2
AMSIY,20180209,,1360.85,,455.22,NO,,
AMSSY,20180226,1,3973,0.71,,NO,0,4
AMSWA,20180222,1,56628.55,0.05,343.13,YES,,3
AMT,20180227,8,2736348,1.68,57282.3,YES,-0.74,4
AMTA,,,855,,0.03,NO,,
AMTCQ,,,1875.4,,0.02,NO,,
AMTD,20180418,7,3998128.5,0.51,30830.85,YES,0,1
AMTX,20180306,1,34531.95,-0.25,11.1,NO,,3
AMTY,20180208,,29027.55,,1.04,NO,,
AMWD,20180226,1,94487.5,0.89,2103.89,YES,,3
AMX,20180213,2,2532455.75,0.14,57682.28,YES,0,4
AMZA,,,1521026.25,,598.85,YES,,
AMZN,20180426,14,6438774,1.85,653786.81,YES,0,3
AN,20180424,15,1148393,0.92,4826.4,YES,0.28,1
ANAB,20180213,5,284957.5,-0.41,2462.56,YES,-0.49,3
ANAT,20180226,,9944.4,,3143.22,YES,,
ANCB,20180423,,3390.55,,61.6,NO,,
ANCX,20180420,1,39212,0.41,584.2,NO,0,2
ANDA,20180227,,28438,,35.31,NO,,
ANDE,20180214,1,153277.2,0.38,896.05,YES,,3
ANDR,20180323,,32464.4,,3.25,NO,,
ANDV,20180215,9,1674255.38,1.13,15116.14,YES,-0.19,1
ANDX,20180215,8,577761.06,0.81,10425.44,YES,-4.64,4
ANET,20180215,12,827668.94,1.45,19336.58,YES,-3.68,3
ANF,20180307,7,2631882.25,1.14,1370.89,YES,0,3
ANFC,20180405,,60190.5,,13.43,NO,,
ANFI,,1,169499.66,0.33,148.59,YES,,3
ANGGY,20180419,,1515.55,,1167.78,NO,,1
ANGI,20180501,3,590265.63,-0.03,836.46,YES,,4
ANGO,20180329,3,257873.8,0.16,602.63,YES,,3
ANH,20180221,1,704041.88,0.14,464.06,YES,,
ANIK,20180221,2,87845.8,0.41,844.52,YES,-9.76,3
ANIOY,20180227,,15162.9,,3726.91,NO,,3
ANIP,20180301,2,116946.85,1.09,676.22,YES,,3
ANSS,20180221,6,490114.69,1.04,12630.63,YES,0.16,3
ANTH,20180226,3,814240.94,-0.72,21.6,YES,20.47,3
ANTM,20180425,9,1844771.75,1.25,59201.27,YES,0,2
ANW,20180307,3,245519.66,0.03,184.91,YES,,4
ANY,20180330,1,348682.94,-0.84,14.87,YES,,3
ANZBY,,,34841.1,,62208.89,NO,,3
AOBC,20180301,4,1117800.75,0.09,583.35,YES,,4
AOGN,,,1001.35,,0.55,NO,,
AOI,20180212,,18787.7,,117.11,NO,,
